DATASET,NLME_RESULT_ID,NLME_CURVE_ID,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,COMPANY_ID,WEBRELEASE,MIN_CONC,MAX_CONC,LN_IC50,AUC,RMSE,Z_SCORE
GDSC1,342,15591507,687807,NCI-H1838,SIDM00769,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,2.886733,0.951713,0.032794,1.691547
GDSC1,342,15591891,687812,NCI-H2085,SIDM00709,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.005214,0.792869,0.19601,-0.144748
GDSC1,342,15592214,687815,NCI-H2170,SIDM00716,LUSC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.450292,0.8343,0.181412,0.144484
GDSC1,342,15592559,687816,NCI-H2228,SIDM00729,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.825377,0.664006,0.212818,-0.665526
GDSC1,342,15592877,687819,NCI-H2342,SIDM00727,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.596069,0.927428,0.063032,0.872016
GDSC1,342,15593218,687820,NCI-H2347,SIDM00726,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.619694,0.845111,0.108037,0.252049
GDSC1,342,15593572,687821,NCI-H2405,SIDM00724,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.963426,0.880828,0.077381,0.470308
GDSC1,342,15593918,687829,NCI-H661,SIDM01122,UNCLASSIFIED,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.02457,0.781372,0.096929,-0.125836
GDSC1,342,15594382,687983,DMS-114,SIDM00865,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.076536,0.779519,0.136214,-0.190035
GDSC1,342,15594773,687985,DMS-273,SIDM00522,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.339646,0.82976,0.111222,0.074227
GDSC1,342,15595114,687995,NCI-H1048,SIDM00654,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.859386,0.700509,0.138821,-0.687121
GDSC1,342,15595460,687997,NCI-H1092,SIDM00653,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,3.035352,0.972082,0.097106,1.785916
GDSC1,342,15595847,688006,NCI-H1694,SIDM00741,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,2.819434,0.9808,0.057748,1.648815
GDSC1,342,15596241,688007,NCI-H187,SIDM00767,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,2.166079,0.953929,0.088439,1.233955
GDSC1,342,15596628,688010,NCI-H1963,SIDM00760,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.757525,0.964023,0.039885,0.974535
GDSC1,342,15596797,688011,NCI-H2029,SIDM00735,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,2.065024,0.971768,0.086142,1.169788
GDSC1,342,15597145,688013,NCI-H209,SIDM00706,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.335269,0.903754,0.124899,0.706416
GDSC1,342,15597529,688014,NCI-H2141,SIDM00699,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,2.895131,0.983666,0.04747,1.69688
GDSC1,342,15598142,688018,NCI-H2227,SIDM00730,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.688117,0.929391,0.044206,0.930464
GDSC1,342,15598452,688021,NCI-H345,SIDM00719,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,4.104757,0.985429,0.038343,2.464954
GDSC1,342,15598845,688023,NCI-H446,SIDM00965,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.132442,0.907138,0.068966,0.577627
GDSC1,342,15599238,688025,NCI-H526,SIDM01128,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.191895,0.776829,0.19023,-0.263284
GDSC1,342,15599623,688026,NCI-H64,SIDM01126,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.239058,0.960693,0.08549,0.645325
GDSC1,342,15599911,688027,NCI-H69,SIDM01121,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,3.841285,0.986417,0.057338,2.297657
GDSC1,342,15600290,688031,NCI-H82,SIDM01131,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.744695,0.862593,0.217281,0.331421
GDSC1,342,15600683,688058,NCI-H2052,SIDM00713,MESO,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.115144,0.786684,0.157309,-0.068324
GDSC1,342,15600929,688086,SK-N-DZ,SIDM01100,NB,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.438697,0.829811,0.257279,0.137122
GDSC1,342,15601318,688087,SK-N-FI,SIDM01099,NB,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.001759,0.898992,0.204303,0.494648
GDSC1,342,15601704,688121,VA-ES-BJ,SIDM01179,UNCLASSIFIED,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-2.536656,0.428471,0.080218,-1.752134
GDSC1,342,15602093,713869,VMRC-LCD,SIDM00320,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.344779,0.873955,0.137705,0.077486
GDSC1,342,15602270,713878,LU-139,SIDM00293,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,2.13335,0.937665,0.052513,1.213173
GDSC1,342,15602651,713880,SBC-5,SIDM00368,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.725674,0.968578,0.050632,0.954311
GDSC1,342,15602996,713885,SBC-1,SIDM00365,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,2.318257,0.954751,0.096375,1.330583
GDSC1,342,15603388,713899,LU-135,SIDM00294,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.825576,0.955405,0.043565,1.017746
GDSC1,342,15603727,717431,SK-N-SH,SIDM01098,NB,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-1.08932,0.657662,0.195169,-0.833121
GDSC1,342,15604079,722045,NCI-H2030,SIDM00715,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.3668,0.746355,0.166516,-0.374344
GDSC1,342,15604421,722046,NCI-H2122,SIDM00702,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.948162,0.674658,0.091704,-0.74349
GDSC1,342,15604769,722058,NCI-H1734,SIDM00739,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.664757,0.709559,0.101281,-0.563537
GDSC1,342,15604992,722066,NCI-H650,SIDM01124,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.306097,0.888693,0.036231,0.687893
GDSC1,342,15605344,724812,T24,SIDM01184,BLCA,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-2.61398,0.41676,0.289174,-1.801232
GDSC1,342,15605690,724825,NCI-H929,SIDM01148,MM,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.143092,0.809855,0.1414,-0.232296
GDSC1,342,15605866,724828,SK-N-AS,SIDM01101,NB,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-1.107605,0.63983,0.114079,-0.844732
GDSC1,342,15606203,724831,NCI-H1299,SIDM00649,UNCLASSIFIED,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.517999,0.716109,0.273541,-0.47035
